timestamp,name,weight
1562484823,HL,66.7
1562484823,DY,46.8
1562568937.06,DY,44.8
1562568950.5,HL,69.7
1562588002.64,DY,46.7
1562588016.57,HL,67.4
1562684133.51,DY,46.4
1562684148.78,HL,66.4
1562723999.34,HL,66.2
1562724007.06,DY,45.5
1563013240.36,DY,45.5
1563074730.03,DY,44.85
1563104395.82,HL,65.3
1563291512.43,HL,65.9
1563291527.65,DY,46.4
1563669244.22,HL,65.55
1563669259.19,DY,45.2
1564235779.57,HL,65
1564235802.85,DY,45.8
1564912699.09,HL,65.3
1564912714.38,DY,45.7
1566466514.05,HL,64.5
